# Time-averaged data for fix myke1
# TimeStep v_totKe
10000 45982.5
20000 46071.8
30000 46089.7
40000 46086.6
50000 45966.5
60000 46136.5
70000 45937.4
80000 46213.4
90000 46035.3
100000 46047.3
110000 45968.6
120000 46036.6
130000 45887
140000 45899.7
150000 46002.9
160000 45729.2
170000 45802.7
180000 45722.1
190000 45639.8
200000 45643.9
210000 45608.3
220000 45703
230000 45539.6
240000 45437.1
250000 45527.5
260000 45279.8
270000 45297.5
280000 45395.4
290000 45217.8
300000 45207.1
310000 45249
320000 45237.5
330000 45095.1
340000 45136.2
350000 44950.2
360000 45023.9
370000 44835.9
380000 45032.9
390000 44803.7
400000 44803.3
410000 44717.6
420000 44880
430000 44739.8
440000 44666.2
450000 44570
460000 44441.6
470000 44543.3
480000 44506.1
490000 44474.1
500000 44393.1
510000 44312.2
520000 44239.3
530000 44374.4
540000 44168.4
550000 44226.6
560000 44074.8
570000 44161.6
580000 43962.1
590000 43966.2
600000 43981.5
610000 43954.8
620000 43806.5
630000 43839.4
640000 43808.3
650000 43773.5
660000 43711.8
670000 43765.9
680000 43639.4
690000 43688.5
700000 43385.8
710000 43392.4
720000 43533
730000 43397.9
740000 43281.9
750000 43330.9
760000 43291.1
770000 43215.1
780000 43149.9
790000 43233.5
800000 43109.2
810000 43162.9
820000 43041
830000 43136.3
840000 43018.1
850000 42877.8
860000 43012.9
870000 42964.9
880000 42862.3
890000 42614.8
900000 42618.5
910000 42743.7
920000 42660.6
930000 42565.3
940000 42594.2
950000 42553.8
960000 42456.5
970000 42371
980000 42373.2
990000 42210.5
1000000 42299.8
1010000 42326.1
1020000 42223.8
1030000 42079.5
1040000 42175.3
1050000 42039.4
1060000 42029.7
1070000 42012.7
1080000 41931.3
1090000 41828.7
1100000 41835.7
1110000 41957.8
1120000 41812.4
1130000 41713.7
1140000 41617.3
1150000 41724
1160000 41579.3
1170000 41610.1
1180000 41480.7
1190000 41489.2
1200000 41554.3
1210000 41467
1220000 41327.6
1230000 41304.1
1240000 41266.5
1250000 41245.1
1260000 41220.1
1270000 41132
1280000 41206.1
1290000 41169.2
1300000 41037.3
1310000 41034.3
1320000 40928.9
1330000 40851.1
1340000 40906.3
1350000 40834.3
1360000 40772.5
1370000 40778.9
1380000 40672.1
1390000 40632.3
1400000 40726
1410000 40707.4
1420000 40449.2
1430000 40377.6
1440000 40494.1
1450000 40487.9
1460000 40387.1
1470000 40356.5
1480000 40188.8
1490000 40281.6
1500000 40272.1
1510000 40111
1520000 40141
1530000 40051.5
1540000 40047.2
1550000 40028.6
1560000 39822
1570000 39883.3
1580000 39937.6
1590000 39761
1600000 39868.8
1610000 39623.7
1620000 39642.5
1630000 39656.3
1640000 39691.2
1650000 39581
1660000 39511.6
1670000 39518.4
1680000 39389.3
1690000 39334.8
1700000 39341.1
1710000 39366.5
1720000 39243.4
1730000 39176.2
1740000 39167
1750000 39203.4
1760000 39025.3
1770000 39002.7
1780000 38999.3
1790000 39029
1800000 38931.6
1810000 38900.6
1820000 38856.3
1830000 38836.5
1840000 38744.6
1850000 38782.7
1860000 38806.6
1870000 38624.4
1880000 38511.9
1890000 38553.5
1900000 38525.7
1910000 38525.1
1920000 38453.9
1930000 38236.2
1940000 38288.2
1950000 38417.4
1960000 38281.7
1970000 38042
1980000 38061.9
1990000 38252
2000000 38046.5
2010000 38141.8
2020000 38159.1
2030000 37846.7
2040000 37855.6
2050000 38006.1
2060000 37920.7
2070000 37922.1
2080000 37897.8
2090000 37702.1
2100000 37733.8
2110000 37622
2120000 37588
2130000 37568.5
2140000 37570.2
2150000 37415.4
2160000 37386.3
2170000 37481.6
2180000 37391.5
2190000 37371.2
2200000 37196.9
2210000 37199.1
2220000 37145.5
2230000 37027.7
2240000 37142.2
2250000 37026.5
2260000 37019.2
2270000 36981.9
2280000 37048.6
2290000 36892.5
2300000 36758.2
2310000 36946.9
2320000 36751.9
2330000 36814.3
2340000 36854.5
2350000 36617.1
2360000 36619.8
2370000 36558.5
2380000 36489.4
2390000 36595.4
2400000 36427.5
2410000 36405.4
2420000 36336.5
2430000 36279
2440000 36321.8
2450000 36221.3
2460000 36154.2
2470000 36200.4
2480000 36090.9
2490000 36028.8
2500000 35994.5
2510000 36081.8
2520000 35942.9
2530000 35858
2540000 35880.8
2550000 35834.5
2560000 35774.9
2570000 35704.5
2580000 35658.2
2590000 35805.2
2600000 35490.2
2610000 35521.8
2620000 35597.5
2630000 35493.8
2640000 35404.3
2650000 35445.3
2660000 35437
2670000 35445.3
2680000 35169.3
2690000 35243.3
2700000 35191.7
2710000 35126.1
2720000 35143.8
2730000 34973.4
2740000 35004.6
2750000 35087.1
2760000 34953
2770000 34800.9
2780000 34842.6
2790000 34810.5
2800000 34769
2810000 34693
