# Time-averaged data for fix myke1
# TimeStep v_totKe
10000 3625.09
20000 4185.98
30000 4174.72
40000 4208.17
50000 4165.21
60000 4209.52
70000 4170.97
80000 4198.35
90000 4184.67
100000 4183.5
110000 4512.92
120000 4964.68
130000 5388.7
140000 5807.59
150000 6225.68
160000 6642.55
170000 7059.75
180000 7477.02
190000 7894.83
200000 8313.45
210000 8733.44
220000 9150.51
230000 9568.05
240000 9988.04
250000 10405.2
260000 10824.8
270000 11243.2
280000 11662.5
290000 12081.3
300000 12498.4
310000 12920.2
320000 13336.1
330000 13754
340000 14173.4
350000 14594.6
360000 15011.2
370000 15430
380000 15848.5
390000 16266.5
400000 16687.2
410000 17105.2
420000 17528.1
430000 17943.5
440000 18357.6
450000 18778.8
460000 19194.8
470000 19617.1
480000 20034.3
490000 20454.9
500000 20872.7
510000 21296
520000 21706.7
530000 22127.2
540000 22541.5
550000 22962
560000 23381.4
570000 23808.4
580000 24222.6
590000 24640.2
600000 25058.5
610000 25471.8
620000 25881.9
630000 26312.9
640000 26728.6
650000 27154.9
660000 27557.6
670000 27974
680000 28407.5
690000 28807
700000 29196.2
710000 29006.3
720000 29186.5
730000 30524.8
740000 31009.5
750000 31350.4
760000 31825.6
770000 32171.9
780000 32627.3
790000 33098.7
800000 33489.7
810000 33910.2
820000 34306.5
830000 34687
840000 35129.7
850000 35520.2
860000 35958.9
870000 36362.2
880000 36806.3
890000 37197
900000 37616.8
910000 38086.4
920000 38486.8
930000 38899.2
940000 39326.3
950000 39792.8
960000 40126.9
970000 40631.9
980000 41025.6
990000 41424.2
1000000 41838.5
1010000 42276.9
1020000 42668.7
1030000 43119.3
1040000 43573.9
1050000 43922.2
1060000 44303.5
1070000 44744.4
1080000 45118.4
1090000 45594
1100000 46142.4
1110000 46129.2
1120000 46133
1130000 46095.8
1140000 46020
1150000 45986.7
1160000 46161
1170000 46080.8
1180000 46118.6
1190000 46093.6
1200000 46023.3
1210000 45971.9
1220000 46186.7
1230000 45985.6
1240000 46211.5
1250000 46054.1
1260000 46171.1
1270000 46016
1280000 46136.8
1290000 45938.5
1300000 45808.2
1310000 46037.9
1320000 46120.3
1330000 46154.1
1340000 45977
1350000 45955.4
1360000 46252.2
1370000 46188.1
1380000 45994.4
1390000 46014.2
1400000 46033.5
1410000 46052.5
1420000 46104.4
1430000 46148.7
1440000 45902.6
1450000 46148.6
1460000 46063.6
1470000 46115.4
1480000 46210.7
1490000 46006
1500000 46053.4
1510000 46081.9
1520000 45992
1530000 46198.2
1540000 46139.6
1550000 46087.6
1560000 46196.1
1570000 45944
1580000 46111.6
1590000 46048.1
1600000 46050.5
1610000 46056.7
1620000 46116.3
1630000 46112.9
1640000 45914.1
1650000 46123.1
1660000 46170.3
1670000 45915.8
1680000 46055
1690000 46155.9
1700000 46112.3
