# Time-averaged data for fix mype1
# TimeStep v_totPe
10000 -394534
20000 -394650
30000 -394501
40000 -394520
50000 -394667
60000 -394623
70000 -394947
80000 -394585
90000 -394595
100000 -394586
110000 -394758
120000 -394677
130000 -394718
140000 -394945
150000 -394815
160000 -395082
170000 -394921
180000 -395133
190000 -395269
200000 -395308
210000 -395257
220000 -395063
230000 -395466
240000 -395478
250000 -395378
260000 -395717
270000 -395612
280000 -395525
290000 -396004
300000 -395667
310000 -395856
320000 -395887
330000 -396133
340000 -395844
350000 -396102
360000 -396118
370000 -396525
380000 -396190
390000 -396441
400000 -396227
410000 -396555
420000 -396420
430000 -396617
440000 -396679
450000 -396673
460000 -396906
470000 -396742
480000 -396861
490000 -396980
500000 -396998
510000 -397054
520000 -397381
530000 -397097
540000 -397258
550000 -397264
560000 -397446
570000 -397306
580000 -397584
590000 -397455
600000 -397406
610000 -397645
620000 -397726
630000 -397678
640000 -397841
650000 -397836
660000 -398166
670000 -397904
680000 -398244
690000 -398127
700000 -398313
710000 -398257
720000 -398382
730000 -398444
740000 -398403
750000 -398467
760000 -398620
770000 -398580
780000 -398679
790000 -398739
800000 -398889
810000 -398766
820000 -399047
830000 -398990
840000 -398925
850000 -399196
860000 -399077
870000 -399184
880000 -399210
890000 -399441
900000 -399620
910000 -399298
920000 -399679
930000 -399654
940000 -399603
950000 -399635
960000 -399774
970000 -399836
980000 -399774
990000 -400134
1000000 -400131
1010000 -399950
1020000 -400095
1030000 -400178
1040000 -400228
1050000 -400411
1060000 -400218
1070000 -400398
1080000 -400503
1090000 -400525
1100000 -400749
1110000 -400602
1120000 -400667
1130000 -400831
1140000 -401007
1150000 -400821
1160000 -401071
1170000 -400971
1180000 -401208
1190000 -401278
1200000 -401077
1210000 -401104
1220000 -401210
1230000 -401505
1240000 -401436
1250000 -401549
1260000 -401461
1270000 -401875
1280000 -401771
1290000 -401702
1300000 -401909
1310000 -401903
1320000 -401765
1330000 -402092
1340000 -402106
1350000 -402187
1360000 -402326
1370000 -402433
1380000 -402301
1390000 -402289
1400000 -402157
1410000 -402414
1420000 -402697
1430000 -402670
1440000 -402549
1450000 -402713
1460000 -402857
1470000 -402805
1480000 -402982
1490000 -402958
1500000 -402954
1510000 -403157
1520000 -403106
1530000 -403238
1540000 -403398
1550000 -403342
1560000 -403565
1570000 -403391
1580000 -403517
1590000 -403963
1600000 -403620
1610000 -403657
1620000 -403696
1630000 -403932
1640000 -403824
1650000 -403897
1660000 -404064
1670000 -404187
1680000 -404197
1690000 -404164
1700000 -404365
1710000 -404260
1720000 -404410
1730000 -404573
1740000 -404495
1750000 -404584
1760000 -404681
1770000 -404734
1780000 -404757
1790000 -404803
1800000 -405030
1810000 -405032
1820000 -404895
1830000 -404932
1840000 -405160
1850000 -405261
1860000 -405156
1870000 -405254
1880000 -405499
1890000 -405377
1900000 -405544
1910000 -405587
1920000 -405604
1930000 -405848
1940000 -405752
1950000 -405835
1960000 -406012
1970000 -406122
1980000 -406118
1990000 -405912
2000000 -406135
2010000 -406093
2020000 -406276
2030000 -406454
2040000 -406489
2050000 -406371
2060000 -406551
2070000 -406541
2080000 -406504
2090000 -406754
2100000 -406700
2110000 -406964
2120000 -406912
2130000 -407003
2140000 -406954
2150000 -407197
2160000 -407088
2170000 -407202
2180000 -407273
2190000 -407295
2200000 -407532
2210000 -407468
2220000 -407640
2230000 -407737
2240000 -407608
2250000 -407694
2260000 -407708
2270000 -407826
2280000 -407787
2290000 -407871
2300000 -408163
2310000 -407928
2320000 -408119
2330000 -407971
2340000 -408032
2350000 -408370
2360000 -408269
2370000 -408412
2380000 -408561
2390000 -408441
2400000 -408720
2410000 -408625
2420000 -408732
2430000 -409052
2440000 -408966
2450000 -408861
2460000 -409046
2470000 -409133
2480000 -409164
2490000 -409107
2500000 -409329
2510000 -409252
2520000 -409328
2530000 -409361
2540000 -409572
2550000 -409661
2560000 -409713
2570000 -409671
2580000 -409863
2590000 -409672
2600000 -409943
2610000 -410059
2620000 -409942
2630000 -410050
2640000 -410074
2650000 -410234
2660000 -410254
2670000 -410314
2680000 -410567
2690000 -410501
2700000 -410446
2710000 -410639
2720000 -410577
2730000 -410718
2740000 -410835
2750000 -410877
2760000 -410862
2770000 -411111
2780000 -411063
2790000 -411071
2800000 -411029
2810000 -411371
2820000 -411287
2830000 -411325
2840000 -411447
2850000 -411499
2860000 -411726
2870000 -411560
2880000 -411702
2890000 -411828
2900000 -411852
2910000 -411830
2920000 -411912
2930000 -412151
2940000 -411921
2950000 -412095
2960000 -412258
2970000 -412262
2980000 -412370
2990000 -412317
3000000 -412562
3010000 -412518
3020000 -412395
3030000 -412572
3040000 -412823
3050000 -412737
3060000 -412840
3070000 -412993
3080000 -412886
3090000 -413029
3100000 -413114
3110000 -413282
3120000 -413295
3130000 -413338
3140000 -413421
3150000 -413284
3160000 -413515
3170000 -413611
3180000 -413563
3190000 -413682
3200000 -413750
3210000 -413890
3220000 -413804
3230000 -414011
3240000 -414255
3250000 -414328
3260000 -414129
3270000 -414135
3280000 -414219
3290000 -414499
3300000 -414318
3310000 -414512
3320000 -414625
3330000 -414603
3340000 -414638
3350000 -414540
3360000 -414751
3370000 -414877
3380000 -414997
3390000 -414882
3400000 -415009
3410000 -415107
3420000 -415268
3430000 -415240
3440000 -415338
3450000 -415397
3460000 -415469
3470000 -415448
3480000 -415591
3490000 -415521
3500000 -415569
3510000 -415647
3520000 -415941
3530000 -415972
3540000 -415831
3550000 -416040
3560000 -416034
3570000 -416115
3580000 -416255
3590000 -416251
3600000 -416263
3610000 -416549
3620000 -416477
3630000 -416645
3640000 -416599
3650000 -416705
3660000 -416863
3670000 -416807
3680000 -416771
3690000 -416984
3700000 -417024
3710000 -417167
3720000 -417151
3730000 -417173
3740000 -417291
3750000 -417294
3760000 -417478
3770000 -417744
3780000 -417519
3790000 -417783
3800000 -417686
3810000 -417842
3820000 -417722
3830000 -417911
3840000 -418074
3850000 -417996
3860000 -418138
3870000 -418182
3880000 -418155
3890000 -418253
3900000 -418406
3910000 -418367
