# Time-averaged data for fix mype1
# TimeStep v_totPe
10000 -466952
20000 -466358
30000 -466370
40000 -466333
50000 -466380
60000 -466333
70000 -466373
80000 -466344
90000 -466359
100000 -466360
110000 -466010
120000 -465528
130000 -465074
140000 -464622
150000 -464171
160000 -463718
170000 -463265
180000 -462809
190000 -462352
200000 -461893
210000 -461434
220000 -460971
230000 -460508
240000 -460043
250000 -459576
260000 -459110
270000 -458641
280000 -458169
290000 -457697
300000 -457221
310000 -456748
320000 -456267
330000 -455789
340000 -455307
350000 -454828
360000 -454338
370000 -453851
380000 -453360
390000 -452868
400000 -452371
410000 -451873
420000 -451374
430000 -450872
440000 -450363
450000 -449850
460000 -449334
470000 -448820
480000 -448298
490000 -447777
500000 -447242
510000 -446714
520000 -446163
530000 -445629
540000 -445070
550000 -444516
560000 -443952
570000 -443386
580000 -442801
590000 -442220
600000 -441631
610000 -441016
620000 -440402
630000 -439770
640000 -439124
650000 -438452
660000 -437762
670000 -437036
680000 -436273
690000 -435321
700000 -434208
710000 -431178
720000 -419917
730000 -417785
740000 -416977
750000 -416474
760000 -415685
770000 -415177
780000 -414478
790000 -413753
800000 -413148
810000 -412476
820000 -411891
830000 -411306
840000 -410666
850000 -409990
860000 -409394
870000 -408734
880000 -408129
890000 -407481
900000 -406860
910000 -406249
920000 -405583
930000 -404959
940000 -404370
950000 -403715
960000 -403101
970000 -402488
980000 -401968
990000 -401316
1000000 -400703
1010000 -400093
1020000 -399496
1030000 -398788
1040000 -398216
1050000 -397724
1060000 -397103
1070000 -396525
1080000 -395872
1090000 -395381
1100000 -394528
1110000 -394651
1120000 -394641
1130000 -394509
1140000 -394677
1150000 -394490
1160000 -394416
1170000 -394494
1180000 -394485
1190000 -394765
1200000 -394713
1210000 -394651
1220000 -394402
1230000 -394785
1240000 -394669
1250000 -394638
1260000 -394543
1270000 -394673
1280000 -394492
1290000 -394701
1300000 -394760
1310000 -394518
1320000 -394599
1330000 -394557
1340000 -394601
1350000 -394766
1360000 -394500
1370000 -394439
1380000 -394481
1390000 -394591
1400000 -394607
1410000 -394762
1420000 -394594
1430000 -394513
1440000 -394727
1450000 -394318
1460000 -394597
1470000 -394578
1480000 -394453
1490000 -394642
1500000 -394638
1510000 -394603
1520000 -394803
1530000 -394388
1540000 -394491
1550000 -394716
1560000 -394456
1570000 -394818
1580000 -394583
1590000 -394672
1600000 -394559
1610000 -394685
1620000 -394516
1630000 -394603
1640000 -394641
1650000 -394578
1660000 -394694
1670000 -394859
1680000 -394530
1690000 -394840
1700000 -394529
1710000 -394625
1720000 -394428
1730000 -394382
1740000 -394662
1750000 -394582
1760000 -394471
1770000 -394645
1780000 -394698
1790000 -394349
1800000 -394724
1810000 -394555
1820000 -394684
1830000 -394513
1840000 -394756
1850000 -394625
1860000 -394489
1870000 -394665
1880000 -394547
1890000 -394671
1900000 -394486
1910000 -394694
1920000 -394677
1930000 -394674
1940000 -394459
1950000 -394409
1960000 -394657
1970000 -394605
1980000 -394519
1990000 -394545
2000000 -394505
2010000 -394566
2020000 -394761
2030000 -394392
2040000 -394614
2050000 -394771
2060000 -394655
2070000 -394584
2080000 -394644
2090000 -394628
2100000 -394677
2110000 -394578
2120000 -394551
2130000 -394700
2140000 -394646
2150000 -394404
2160000 -394374
2170000 -394710
2180000 -394601
2190000 -394590
2200000 -394609
2210000 -394628
2220000 -394637
2230000 -394607
2240000 -394498
2250000 -394742
2260000 -394767
2270000 -394473
2280000 -394515
2290000 -394679
2300000 -394526
2310000 -394758
2320000 -394623
2330000 -394726
2340000 -394371
2350000 -394792
2360000 -394685
2370000 -394532
2380000 -394541
2390000 -394685
2400000 -394530
2410000 -394624
2420000 -394518
2430000 -394603
2440000 -394476
2450000 -394661
2460000 -394563
2470000 -394646
2480000 -394815
2490000 -394738
2500000 -394815
2510000 -394599
2520000 -394440
2530000 -394469
2540000 -394703
2550000 -394592
2560000 -394692
2570000 -394536
2580000 -394627
2590000 -394390
2600000 -394749
2610000 -394444
2620000 -394652
2630000 -394548
2640000 -394587
2650000 -394668
2660000 -394580
2670000 -394691
2680000 -394418
2690000 -394736
2700000 -394625
2710000 -394644
2720000 -394494
2730000 -394568
2740000 -394739
2750000 -394618
2760000 -394428
2770000 -394708
2780000 -394521
2790000 -394726
2800000 -394812
2810000 -394473
2820000 -394631
2830000 -394592
2840000 -394442
2850000 -394536
2860000 -394587
2870000 -394910
2880000 -394479
2890000 -394319
2900000 -394421
2910000 -394662
2920000 -394611
2930000 -394733
2940000 -394606
2950000 -394538
2960000 -394627
2970000 -394478
2980000 -394395
2990000 -394721
3000000 -394683
3010000 -394581
3020000 -394530
3030000 -394685
3040000 -394424
3050000 -394627
3060000 -394667
3070000 -394511
3080000 -394566
3090000 -394637
3100000 -394773
3110000 -394617
3120000 -394839
3130000 -394392
3140000 -394699
3150000 -394410
3160000 -394649
3170000 -394571
3180000 -394540
3190000 -394616
3200000 -394509
3210000 -394730
3220000 -394658
3230000 -394526
3240000 -394558
3250000 -394642
3260000 -394562
3270000 -394577
3280000 -394624
3290000 -394656
3300000 -394590
3310000 -394629
3320000 -394598
3330000 -394485
3340000 -394509
3350000 -394755
3360000 -394605
3370000 -394598
3380000 -394703
3390000 -394470
3400000 -394534
3410000 -394832
3420000 -394620
3430000 -394556
3440000 -394690
3450000 -394538
3460000 -394607
3470000 -394533
3480000 -394446
3490000 -394695
3500000 -394746
3510000 -394470
3520000 -394793
3530000 -394634
3540000 -394728
3550000 -394557
3560000 -394634
3570000 -394717
3580000 -394840
3590000 -394470
3600000 -394737
3610000 -394594
3620000 -394429
3630000 -394712
3640000 -394439
3650000 -394776
3660000 -394453
3670000 -394486
3680000 -394362
3690000 -394816
3700000 -394855
3710000 -394776
3720000 -394406
3730000 -394698
3740000 -394656
3750000 -394548
3760000 -394783
3770000 -394882
3780000 -394544
3790000 -394654
3800000 -394560
3810000 -394658
3820000 -394582
3830000 -394610
3840000 -394664
3850000 -394725
3860000 -394530
3870000 -394647
3880000 -394434
3890000 -394463
3900000 -394735
3910000 -394530
3920000 -394756
3930000 -394809
3940000 -394648
3950000 -394580
3960000 -394951
3970000 -394489
3980000 -394701
3990000 -394608
4000000 -394814
4010000 -394574
4020000 -394567
4030000 -394635
4040000 -394697
4050000 -394522
4060000 -394504
4070000 -394659
4080000 -394510
4090000 -394555
4100000 -394552
4110000 -394617
4120000 -394547
4130000 -394699
4140000 -394479
4150000 -394542
4160000 -394677
4170000 -394655
4180000 -394592
4190000 -394462
4200000 -394685
4210000 -394490
4220000 -394690
4230000 -394438
4240000 -394633
4250000 -394756
4260000 -394446
4270000 -394575
4280000 -394387
4290000 -394682
4300000 -394559
4310000 -394721
4320000 -394603
4330000 -394637
4340000 -394609
4350000 -394618
4360000 -394899
4370000 -394492
4380000 -394725
4390000 -394650
4400000 -394485
4410000 -394594
4420000 -394545
4430000 -394597
4440000 -394502
4450000 -394784
4460000 -394399
4470000 -394741
4480000 -394554
4490000 -394429
4500000 -394688
4510000 -394491
4520000 -394649
4530000 -394648
4540000 -394512
4550000 -394559
4560000 -394560
4570000 -394666
4580000 -394673
4590000 -394519
4600000 -394666
4610000 -394585
4620000 -394470
4630000 -394531
4640000 -394780
4650000 -394723
4660000 -394612
4670000 -394653
4680000 -394409
4690000 -394642
4700000 -394559
4710000 -394601
4720000 -394688
4730000 -394571
4740000 -394655
4750000 -394531
4760000 -394782
4770000 -394648
4780000 -394526
4790000 -394758
4800000 -394584
4810000 -394360
4820000 -394510
4830000 -394760
4840000 -394511
4850000 -394676
4860000 -394521
4870000 -394729
4880000 -394725
4890000 -394530
4900000 -394673
4910000 -394681
4920000 -394645
4930000 -394608
4940000 -394743
4950000 -394595
4960000 -394541
4970000 -394676
4980000 -394650
4990000 -394587
5000000 -394754
5010000 -394752
5020000 -394617
5030000 -394674
5040000 -394548
5050000 -394520
5060000 -394858
5070000 -394689
5080000 -394427
5090000 -394637
5100000 -394382
5110000 -394711
5120000 -394569
5130000 -394522
5140000 -394546
5150000 -394663
5160000 -394729
5170000 -394613
5180000 -394636
5190000 -394659
5200000 -394573
5210000 -394655
5220000 -394681
5230000 -394715
5240000 -394677
5250000 -394547
5260000 -394825
5270000 -394423
5280000 -394616
5290000 -394680
5300000 -394634
5310000 -394691
5320000 -394585
5330000 -394515
5340000 -394482
5350000 -394611
5360000 -394657
5370000 -394699
5380000 -394616
5390000 -394808
5400000 -394509
5410000 -394643
5420000 -394471
5430000 -394455
5440000 -394753
5450000 -394573
5460000 -394547
5470000 -394556
5480000 -394497
5490000 -394674
5500000 -394614
5510000 -394649
5520000 -394622
5530000 -394694
5540000 -394547
5550000 -394818
5560000 -394535
5570000 -394782
5580000 -394610
5590000 -394678
5600000 -394664
5610000 -394462
5620000 -394590
5630000 -394510
5640000 -394584
5650000 -394639
5660000 -394573
5670000 -394912
5680000 -394687
5690000 -394513
5700000 -394496
5710000 -394658
5720000 -394584
5730000 -394590
5740000 -394721
5750000 -394475
5760000 -394501
5770000 -394710
5780000 -394623
5790000 -394558
5800000 -394635
5810000 -394540
5820000 -394677
5830000 -394526
5840000 -394460
5850000 -394713
5860000 -394695
5870000 -394549
5880000 -394658
5890000 -394483
5900000 -394589
5910000 -394739
5920000 -394740
5930000 -394521
5940000 -394490
5950000 -394623
5960000 -394755
5970000 -394510
5980000 -394581
5990000 -394494
6000000 -394765
6010000 -394612
6020000 -394716
6030000 -394617
6040000 -394731
6050000 -394655
6060000 -394649
6070000 -394530
6080000 -394664
6090000 -394807
6100000 -394429
