# Time-averaged data for fix myat1
# TimeStep v_Toutput
10000 3293.89
20000 3300.28
30000 3301.56
40000 3301.34
50000 3292.74
60000 3304.91
70000 3290.65
80000 3310.42
90000 3297.67
100000 3298.53
110000 3292.89
120000 3297.76
130000 3287.04
140000 3287.95
150000 3295.35
160000 3275.74
170000 3281.01
180000 3275.23
190000 3269.33
200000 3269.63
210000 3267.08
220000 3273.86
230000 3262.15
240000 3254.81
250000 3261.29
260000 3243.55
270000 3244.82
280000 3251.83
290000 3239.11
300000 3238.34
310000 3241.34
320000 3240.52
330000 3230.32
340000 3233.26
350000 3219.94
360000 3225.22
370000 3211.75
380000 3225.86
390000 3209.44
400000 3209.41
410000 3203.27
420000 3214.9
430000 3204.86
440000 3199.59
450000 3192.7
460000 3183.51
470000 3190.79
480000 3188.13
490000 3185.83
500000 3180.03
510000 3174.23
520000 3169.01
530000 3178.69
540000 3163.93
550000 3168.1
560000 3157.23
570000 3163.45
580000 3149.15
590000 3149.45
600000 3150.54
610000 3148.63
620000 3138.01
630000 3140.36
640000 3138.14
650000 3135.65
660000 3131.23
670000 3135.1
680000 3126.04
690000 3129.56
700000 3107.88
710000 3108.34
720000 3118.42
730000 3108.74
740000 3100.43
750000 3103.94
760000 3101.09
770000 3095.64
780000 3090.97
790000 3096.96
800000 3088.06
810000 3091.91
820000 3083.17
830000 3090
840000 3081.54
850000 3071.48
860000 3081.16
870000 3077.72
880000 3070.37
890000 3052.64
900000 3052.91
910000 3061.88
920000 3055.93
930000 3049.1
940000 3051.17
950000 3048.28
960000 3041.31
970000 3035.18
980000 3035.33
990000 3023.68
1000000 3030.08
1010000 3031.96
1020000 3024.63
1030000 3014.3
1040000 3021.16
1050000 3011.43
1060000 3010.73
1070000 3009.51
1080000 3003.68
1090000 2996.33
1100000 2996.84
1110000 3005.58
1120000 2995.16
1130000 2988.09
1140000 2981.19
1150000 2988.83
1160000 2978.46
1170000 2980.67
1180000 2971.4
1190000 2972.02
1200000 2976.68
1210000 2970.43
1220000 2960.44
1230000 2958.75
1240000 2956.06
1250000 2954.53
1260000 2952.74
1270000 2946.43
1280000 2951.73
1290000 2949.09
1300000 2939.65
1310000 2939.43
1320000 2931.88
1330000 2926.31
1340000 2930.26
1350000 2925.1
1360000 2920.67
1370000 2921.13
1380000 2913.48
1390000 2910.63
1400000 2917.34
1410000 2916.01
1420000 2897.51
1430000 2892.39
1440000 2900.73
1450000 2900.29
1460000 2893.06
1470000 2890.87
1480000 2878.86
1490000 2885.51
1500000 2884.83
1510000 2873.28
1520000 2875.44
1530000 2869.03
1540000 2868.72
1550000 2867.39
1560000 2852.59
1570000 2856.97
1580000 2860.86
1590000 2848.22
1600000 2855.94
1610000 2838.38
1620000 2839.73
1630000 2840.72
1640000 2843.22
1650000 2835.32
1660000 2830.35
1670000 2830.84
1680000 2821.59
1690000 2817.68
1700000 2818.14
1710000 2819.96
1720000 2811.14
1730000 2806.33
1740000 2805.66
1750000 2808.27
1760000 2795.52
1770000 2793.9
1780000 2793.66
1790000 2795.78
1800000 2788.8
1810000 2786.59
1820000 2783.41
1830000 2781.99
1840000 2775.41
1850000 2778.14
1860000 2779.85
1870000 2766.8
1880000 2758.74
1890000 2761.72
1900000 2759.72
1910000 2759.69
1920000 2754.58
1930000 2738.99
1940000 2742.72
1950000 2751.97
1960000 2742.25
1970000 2725.08
1980000 2726.5
1990000 2740.12
2000000 2725.4
2010000 2732.23
2020000 2733.46
2030000 2711.09
2040000 2711.73
2050000 2722.51
2060000 2716.39
2070000 2716.49
2080000 2714.75
2090000 2700.73
2100000 2703
2110000 2694.99
2120000 2692.56
2130000 2691.16
2140000 2691.28
2150000 2680.19
2160000 2678.11
2170000 2684.93
2180000 2678.48
2190000 2677.03
2200000 2664.54
2210000 2664.7
2220000 2660.86
2230000 2652.42
2240000 2660.62
2250000 2652.33
2260000 2651.81
2270000 2649.14
2280000 2653.92
2290000 2642.74
2300000 2633.12
2310000 2646.64
2320000 2632.66
2330000 2637.13
2340000 2640.02
2350000 2623
2360000 2623.2
2370000 2618.81
2380000 2613.86
2390000 2621.46
2400000 2609.43
2410000 2607.84
2420000 2602.91
2430000 2598.79
2440000 2601.85
2450000 2594.66
2460000 2589.85
2470000 2593.16
2480000 2585.32
2490000 2580.87
2500000 2578.41
2510000 2584.66
2520000 2574.71
2530000 2568.63
2540000 2570.26
2550000 2566.95
2560000 2562.67
2570000 2557.63
2580000 2554.32
2590000 2564.85
2600000 2542.28
2610000 2544.55
2620000 2549.97
2630000 2542.54
2640000 2536.13
2650000 2539.07
2660000 2538.47
2670000 2539.07
2680000 2519.3
2690000 2524.6
2700000 2520.9
2710000 2516.2
2720000 2517.47
2730000 2505.26
2740000 2507.5
2750000 2513.41
2760000 2503.8
2770000 2492.91
2780000 2495.9
2790000 2493.59
2800000 2490.62
2810000 2485.18
2820000 2489.89
2830000 2481.33
2840000 2477.05
2850000 2475.86
2860000 2468.22
2870000 2466.9
2880000 2467.4
2890000 2457.37
2900000 2452.19
2910000 2454.77
2920000 2461.23
2930000 2445.93
2940000 2445.31
2950000 2445.78
2960000 2442.13
2970000 2435.36
2980000 2433.75
2990000 2438.23
3000000 2429.94
3010000 2424.34
3020000 2431.44
3030000 2426.01
3040000 2418.13
3050000 2415.48
3060000 2408.95
3070000 2408.5
3080000 2409.8
3090000 2398.92
3100000 2397.87
3110000 2394.41
3120000 2392.66
3130000 2387.22
3140000 2386.14
3150000 2389.25
3160000 2377.04
3170000 2379.34
3180000 2382.16
3190000 2367.45
3200000 2370.82
3210000 2367.8
3220000 2369.39
3230000 2355.33
3240000 2349.43
3250000 2347.26
3260000 2353.8
3270000 2349.18
3280000 2348.87
3290000 2338.66
3300000 2338.88
3310000 2335.26
3320000 2336.38
3330000 2329.13
3340000 2326.41
3350000 2332.74
3360000 2326.84
3370000 2318.56
3380000 2315.58
3390000 2314.99
3400000 2310.11
3410000 2307.69
3420000 2304.95
3430000 2302.79
3440000 2304.17
3450000 2297.13
3460000 2288.53
3470000 2291.59
3480000 2287.83
3490000 2282.98
3500000 2288.81
3510000 2283.04
3520000 2272.33
3530000 2265.46
3540000 2276.54
3550000 2264.12
3560000 2258.88
3570000 2257.24
3580000 2255.46
3590000 2253.86
3600000 2253.58
3610000 2247.32
3620000 2245.48
3630000 2238.18
3640000 2241.92
3650000 2234.42
3660000 2235.21
3670000 2230.15
3680000 2228.16
3690000 2221.56
3700000 2221.1
3710000 2213.27
3720000 2216.68
3730000 2213.48
3740000 2210.92
3750000 2207.22
3760000 2196.68
3770000 2190.71
3780000 2200.36
3790000 2188.24
3800000 2192.09
3810000 2188.18
3820000 2184.89
3830000 2178.95
3840000 2174.31
3850000 2176.9
3860000 2172.9
3870000 2172.25
3880000 2171.95
3890000 2163.92
3900000 2161.52
3910000 2163.51
3920000 2152.9
3930000 2150.81
3940000 2148.18
3950000 2149.06
3960000 2138.94
3970000 2138.36
3980000 2138.87
3990000 2132.99
4000000 2133.24
4010000 2125.07
4020000 2120.96
4030000 2125.73
4040000 2122.96
4050000 2113.03
4060000 2110.16
4070000 2108.35
4080000 2108.79
4090000 2103.31
4100000 2096.28
4110000 2096.93
4120000 2096.73
4130000 2092.36
4140000 2090.18
4150000 2090.79
4160000 2084.23
4170000 2075.04
