# Time-averaged data for fix myat1
# TimeStep v_Toutput
10000 259.677
20000 299.856
30000 299.049
40000 301.446
50000 298.369
60000 301.542
70000 298.781
80000 300.742
90000 299.762
100000 299.678
110000 323.276
120000 355.637
130000 386.011
140000 416.018
150000 445.967
160000 475.829
170000 505.714
180000 535.605
190000 565.533
200000 595.521
210000 625.606
220000 655.482
230000 685.392
240000 715.478
250000 745.36
260000 775.416
270000 805.386
280000 835.428
290000 865.423
300000 895.3
310000 925.515
320000 955.308
330000 985.245
340000 1015.29
350000 1045.46
360000 1075.3
370000 1105.31
380000 1135.28
390000 1165.23
400000 1195.36
410000 1225.3
420000 1255.6
430000 1285.35
440000 1315.01
450000 1345.19
460000 1374.99
470000 1405.24
480000 1435.12
490000 1465.26
500000 1495.18
510000 1525.51
520000 1554.93
530000 1585.05
540000 1614.72
550000 1644.84
560000 1674.89
570000 1705.48
580000 1735.15
590000 1765.06
600000 1795.02
610000 1824.63
620000 1854.01
630000 1884.88
640000 1914.66
650000 1945.2
660000 1974.04
670000 2003.87
680000 2034.93
690000 2063.54
700000 2091.42
710000 2077.82
720000 2090.73
730000 2186.6
740000 2221.32
750000 2245.74
760000 2279.78
770000 2304.58
780000 2337.21
790000 2370.98
800000 2398.98
810000 2429.1
820000 2457.49
830000 2484.75
840000 2516.46
850000 2544.44
860000 2575.86
870000 2604.75
880000 2636.56
890000 2664.54
900000 2694.62
910000 2728.26
920000 2756.94
930000 2786.48
940000 2817.07
950000 2850.49
960000 2874.43
970000 2910.6
980000 2938.8
990000 2967.36
1000000 2997.03
1010000 3028.44
1020000 3056.51
1030000 3088.78
1040000 3121.35
1050000 3146.3
1060000 3173.61
1070000 3205.19
1080000 3231.99
1090000 3266.05
1100000 3305.34
1110000 3304.39
1120000 3304.66
1130000 3302
1140000 3296.57
1150000 3294.18
1160000 3306.67
1170000 3300.93
1180000 3303.63
1190000 3301.84
1200000 3296.8
1210000 3293.12
1220000 3308.51
1230000 3294.1
1240000 3310.29
1250000 3299.01
1260000 3307.39
1270000 3296.28
1280000 3304.94
1290000 3290.73
1300000 3281.4
1310000 3297.85
1320000 3303.75
1330000 3306.17
1340000 3293.49
1350000 3291.94
1360000 3313.2
1370000 3308.61
1380000 3294.74
1390000 3296.15
1400000 3297.54
1410000 3298.9
1420000 3302.61
1430000 3305.79
1440000 3288.16
1450000 3305.78
1460000 3299.69
1470000 3303.4
1480000 3310.23
1490000 3295.56
1500000 3298.96
1510000 3301
1520000 3294.56
1530000 3309.34
1540000 3305.14
1550000 3301.41
1560000 3309.18
1570000 3291.13
1580000 3303.13
1590000 3298.58
1600000 3298.75
1610000 3299.2
1620000 3303.47
1630000 3303.22
1640000 3288.98
1650000 3303.96
1660000 3307.34
1670000 3289.1
1680000 3299.07
1690000 3306.3
1700000 3303.18
1710000 3300.94
1720000 3300.76
1730000 3302.05
1740000 3298.24
1750000 3301.91
1760000 3302.35
1770000 3292.99
1780000 3286.28
1790000 3306.37
1800000 3286.28
1810000 3301.76
1820000 3299.43
1830000 3293
1840000 3296.36
1850000 3300.88
1860000 3301.64
1870000 3295.19
1880000 3301.78
1890000 3302.17
1900000 3304.85
1910000 3300.73
1920000 3311.46
1930000 3298.75
1940000 3301.26
1950000 3305.04
1960000 3294.89
1970000 3301.54
1980000 3301.91
1990000 3291.98
2000000 3303.04
2010000 3303.79
2020000 3296.17
2030000 3311.08
2040000 3288.82
2050000 3289.66
2060000 3296.43
2070000 3300.86
2080000 3291.86
2090000 3297.7
2100000 3292.24
2110000 3302.2
2120000 3301.76
2130000 3303.31
2140000 3296.64
2150000 3307.72
2160000 3310.64
2170000 3297.28
2180000 3297.34
2190000 3294.94
2200000 3300.15
2210000 3296.56
2220000 3297.47
2230000 3309.2
2240000 3310.4
2250000 3291.09
2260000 3290.34
2270000 3298.12
2280000 3301.29
2290000 3297.6
2300000 3306.41
2310000 3289.75
2320000 3288.25
2330000 3295.39
2340000 3313.32
2350000 3288.2
2360000 3299.14
2370000 3312.22
2380000 3310.63
2390000 3299.77
2400000 3304.02
2410000 3300.37
2420000 3299.46
2430000 3291.21
2440000 3303.69
2450000 3298.07
2460000 3300.76
2470000 3294.05
2480000 3295.88
2490000 3301.81
2500000 3297.95
2510000 3298.73
2520000 3303.15
2530000 3299.91
2540000 3300.77
2550000 3302.2
2560000 3299.34
2570000 3302.75
2580000 3289.31
2590000 3304.46
2600000 3295.65
2610000 3304.34
2620000 3303.35
2630000 3299.12
2640000 3301.67
2650000 3295.19
2660000 3305.38
2670000 3304.38
2680000 3304.29
2690000 3296.02
2700000 3299.87
2710000 3294.65
2720000 3305.65
2730000 3313.75
2740000 3298.56
2750000 3294.68
2760000 3303
2770000 3300.69
2780000 3304.08
2790000 3301.4
2800000 3301.1
2810000 3306.18
2820000 3300.72
2830000 3302.21
2840000 3304.51
2850000 3297.08
2860000 3302.13
2870000 3293.91
2880000 3300.76
2890000 3305.35
2900000 3303.19
2910000 3300.51
2920000 3305.14
2930000 3294.87
2940000 3298.09
2950000 3297.21
2960000 3294.38
2970000 3312.37
2980000 3310.68
2990000 3303.9
3000000 3289.85
3010000 3294.7
3020000 3305.01
3030000 3298.57
3040000 3304.12
3050000 3309.12
3060000 3295.2
3070000 3297.96
3080000 3299.48
3090000 3295.23
3100000 3296.94
3110000 3305.53
3120000 3295.08
3130000 3302.5
3140000 3294.82
3150000 3305.09
3160000 3291.63
3170000 3301.7
3180000 3310.85
3190000 3297.37
3200000 3299.39
3210000 3292.42
3220000 3299.09
3230000 3303.9
3240000 3301.62
3250000 3298.07
3260000 3304.67
3270000 3300.4
3280000 3307.69
3290000 3310.91
3300000 3305.11
3310000 3297.72
3320000 3300.34
3330000 3298.63
3340000 3298.92
3350000 3299.14
3360000 3305.07
3370000 3306.03
3380000 3289.25
3390000 3297.16
3400000 3300.35
3410000 3296.55
3420000 3306.98
3430000 3302.54
3440000 3294.71
3450000 3309.86
3460000 3301.95
3470000 3301.89
3480000 3305.56
3490000 3306.67
3500000 3309
3510000 3304.97
3520000 3288.03
3530000 3300.07
3540000 3300.24
3550000 3303.19
3560000 3296.11
3570000 3300.76
3580000 3295.16
3590000 3313.73
3600000 3305.88
3610000 3301.47
3620000 3305.34
3630000 3308.46
3640000 3310.84
3650000 3286.48
3660000 3301.35
3670000 3310.65
3680000 3317.76
3690000 3294.84
3700000 3287.66
3710000 3294.78
3720000 3305.33
3730000 3302.28
3740000 3293.57
3750000 3300.36
3760000 3299.19
3770000 3293.33
3780000 3306.21
3790000 3298.3
3800000 3304.14
3810000 3297.94
3820000 3305.93
3830000 3303.21
3840000 3293.36
3850000 3294.52
3860000 3302.83
3870000 3299.16
3880000 3300.34
3890000 3303.22
3900000 3299.92
3910000 3298.76
3920000 3296.34
3930000 3303.34
3940000 3297.79
3950000 3294.22
3960000 3286.35
3970000 3303.13
3980000 3298.91
3990000 3306.31
4000000 3286.47
4010000 3291.09
4020000 3301.96
4030000 3297.77
4040000 3291.56
4050000 3313.75
4060000 3305.07
4070000 3291.52
4080000 3301.03
4090000 3300.36
4100000 3308.35
4110000 3302.53
4120000 3304.61
4130000 3290.92
4140000 3298.39
4150000 3305.55
4160000 3303.67
4170000 3298.68
4180000 3301.33
4190000 3303.94
4200000 3301.33
4210000 3305.52
4220000 3298.83
4230000 3299.49
4240000 3303.1
4250000 3300.15
4260000 3306.82
4270000 3294.99
4280000 3309.75
4290000 3303.29
4300000 3304.23
4310000 3292.09
4320000 3296.68
4330000 3297.34
4340000 3304.92
4350000 3292.18
4360000 3286.35
4370000 3302.68
4380000 3301.14
4390000 3300.66
4400000 3299.26
4410000 3291.68
4420000 3303.71
4430000 3308.01
4440000 3308.63
4450000 3290.74
4460000 3305.38
4470000 3298.85
4480000 3301.78
4490000 3302.64
4500000 3291.69
4510000 3309.4
4520000 3299.82
4530000 3301.87
4540000 3303.3
4550000 3297.08
4560000 3302.28
4570000 3301.82
4580000 3299.18
4590000 3304
4600000 3294.15
4610000 3303.8
4620000 3299.81
4630000 3298.34
4640000 3293.65
4650000 3303.56
4660000 3296.6
4670000 3300.65
4680000 3301.48
4690000 3299.82
4700000 3300.68
4710000 3300.33
4720000 3297.07
4730000 3302.83
4740000 3297.09
4750000 3304.43
4760000 3299.59
4770000 3302.36
4780000 3298.67
4790000 3293.29
4800000 3291.3
4810000 3308.34
4820000 3307.12
4830000 3290.17
4840000 3293.69
4850000 3297.7
4860000 3308.2
4870000 3291.8
4880000 3293.8
4890000 3297.64
4900000 3296.18
